spread,sensitivity,alpha,final_pnl,final_inventory,std_inventory,sharpe,max_drawdown,hit_rate,trades,fill_rate
0.05,0.05,1.5,101.27840727587633,-1,0.14345584540052583,0.0316227766016838,0.0,0.001,1,0.001
0.1,0.001,1.5,-15.150046712266203,0,0.37493943454854084,-0.003493310756321679,-104.20610147508788,0.001,2,0.002
0.1,0.01,1.5,-5.691811091361146,0,0.12553788177183714,-0.0012545269898711832,-104.20610147508788,0.001,2,0.002
0.1,0.02,1.5,-5.70180809136113,0,0.12553788177183714,-0.0012567906117147243,-104.20610147508788,0.001,2,0.002
0.1,0.03,1.5,-0.5573429077453085,0,0.0316227766016838,-0.0001198556410987827,-104.20610147508788,0.001,2,0.002
0.1,0.05,1.5,-0.567339907745307,0,0.0316227766016838,-0.00012201133126409945,-104.20610147508788,0.001,2,0.002
0.15,0.001,1.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.01,1.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.02,1.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.03,1.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.05,1.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.001,1.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.01,1.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.02,1.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.03,1.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.05,1.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.01,0.001,2.0,633.7680385546577,-7,2.0070882898874687,0.01905273956622028,-0.9980942114822375,0.06,123,0.123
0.01,0.01,2.0,388.3581301335609,-4,0.9279116445114911,0.04312723477449951,-0.5192903392234823,0.006,8,0.008
0.01,0.02,2.0,197.59629632270125,-2,0.46752816234167394,0.02491317728249394,-1.0451665619521144,0.004,6,0.006
0.01,0.03,2.0,188.8998558285645,-2,0.5024823265434203,0.030009197622348674,-1.0375923236317341,0.003,4,0.004
0.01,0.05,2.0,100.44513977348815,-1,0.0316227766016838,0.031622776601683805,0.0,0.001,1,0.001
0.05,0.001,2.0,-530.2828367738615,5,1.539912442423377,-0.04028270180428998,-111.07649655994274,0.006,17,0.017
0.05,0.01,2.0,186.21320951203484,-2,0.8925669026328927,0.023890640884091395,-104.97190440185618,0.004,6,0.006
0.05,0.02,2.0,97.15115654921317,-1,0.46496364502097487,0.013365259438847114,-104.98190140185616,0.003,5,0.005
0.05,0.03,2.0,97.17115054921314,-1,0.46496364502097487,0.01336748669054151,-104.97190440185618,0.003,5,0.005
0.05,0.05,2.0,-208.30856692195,2,0.7846755480551918,-0.044743726185441805,-208.30856692195,0.0,2,0.002
0.1,0.001,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.1,0.01,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.1,0.02,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.1,0.03,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.1,0.05,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.001,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.01,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.02,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.03,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.05,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.001,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.01,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.02,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.03,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.05,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.01,0.001,2.5,675.9055871394673,-7,2.7912660507673155,0.02058776425819873,-1.2511976565968685,0.058,125,0.125
0.01,0.01,2.5,284.26300549405664,-3,0.5747219373795517,0.03389977725807697,-0.5204008574345497,0.005,7,0.007
0.01,0.02,2.5,197.59629632270125,-2,0.46752816234167394,0.02491317728249394,-1.0451665619521144,0.004,6,0.006
0.01,0.03,2.5,100.44513977348815,-1,0.0316227766016838,0.031622776601683805,0.0,0.001,1,0.001
0.01,0.05,2.5,100.44513977348815,-1,0.0316227766016838,0.031622776601683805,0.0,0.001,1,0.001
0.05,0.001,2.5,-20.855777700204086,0,0.6441225767615151,-0.0023247937784188384,-104.96290710185617,0.004,8,0.008
0.05,0.01,2.5,82.54945544469224,-1,0.5324984080300659,0.011671452334229596,-104.97190440185618,0.003,5,0.005
0.05,0.02,2.5,97.15115654921317,-1,0.46496364502097487,0.013365259438847114,-104.98190140185616,0.003,5,0.005
0.05,0.03,2.5,-207.77586658076046,2,0.9039032254843661,-0.03171416283334446,-207.77586658076046,0.001,4,0.004
0.05,0.05,2.5,-208.30856692195,2,0.7846755480551918,-0.044743726185441805,-208.30856692195,0.0,2,0.002
0.1,0.001,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.1,0.01,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.1,0.02,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.1,0.03,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.1,0.05,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.001,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.01,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.02,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.03,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.15,0.05,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.001,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.01,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.02,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.03,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.05,2.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0
